siteID,labno,starttime,endtime,amount,type
ME96,NR5603SW,4/8/1998 4:00:00 AM,4/9/1998 4:00:00 AM,0.00, 
ME96,NR5603SW,4/9/1998 4:00:00 AM,4/10/1998 4:00:00 AM,0.00, 
ME96,NR5603SW,4/10/1998 4:00:00 AM,4/11/1998 4:00:00 AM,0.00, 
ME96,NR5603SW,4/11/1998 4:00:00 AM,4/12/1998 4:00:00 AM,0.00, 
ME96,NR5603SW,4/12/1998 4:00:00 AM,4/13/1998 4:00:00 AM,0.00, 
ME96,NR5603SW,4/13/1998 4:00:00 AM,4/14/1998 4:00:00 AM,0.00, 
ME96,NR5603SW,4/14/1998 4:00:00 AM,4/14/1998 2:00:00 PM,0.00, 
ME96,NR5869SW,4/14/1998 2:00:00 PM,4/15/1998 4:00:00 AM,0.00, 
ME96,NR5869SW,4/15/1998 4:00:00 AM,4/16/1998 4:00:00 AM,0.00, 
ME96,NR5869SW,4/16/1998 4:00:00 AM,4/17/1998 4:00:00 AM,0.00, 
ME96,NR5869SW,4/17/1998 4:00:00 AM,4/18/1998 4:00:00 AM,1.05,r
ME96,NR5869SW,4/18/1998 4:00:00 AM,4/19/1998 4:00:00 AM,0.05,r
ME96,NR5869SW,4/19/1998 4:00:00 AM,4/20/1998 4:00:00 AM,0.00, 
ME96,NR5869SW,4/20/1998 4:00:00 AM,4/21/1998 4:00:00 AM,1.30,r
ME96,NR5869SW,4/21/1998 4:00:00 AM,4/21/1998 3:18:00 PM,0.00, 
ME96,NR6070SW,4/21/1998 3:18:00 PM,4/22/1998 4:00:00 AM,0.00, 
ME96,NR6070SW,4/22/1998 4:00:00 AM,4/23/1998 4:00:00 AM,0.00, 
ME96,NR6070SW,4/23/1998 4:00:00 AM,4/24/1998 4:00:00 AM,0.50,r
ME96,NR6070SW,4/24/1998 4:00:00 AM,4/25/1998 4:00:00 AM,0.62,r
ME96,NR6070SW,4/25/1998 4:00:00 AM,4/26/1998 4:00:00 AM,0.15,r
ME96,NR6070SW,4/26/1998 4:00:00 AM,4/27/1998 4:00:00 AM,0.00, 
ME96,NR6070SW,4/27/1998 4:00:00 AM,4/28/1998 4:00:00 AM,0.00, 
ME96,NR6070SW,4/28/1998 4:00:00 AM,4/28/1998 2:40:00 PM,0.00, 
ME96,NR6337SW,4/28/1998 2:40:00 PM,4/29/1998 4:00:00 AM,0.00, 
ME96,NR6337SW,4/29/1998 4:00:00 AM,4/30/1998 4:00:00 AM,0.00, 
ME96,NR6337SW,4/30/1998 4:00:00 AM,5/1/1998 4:00:00 AM,0.00, 
ME96,NR6337SW,5/1/1998 4:00:00 AM,5/2/1998 4:00:00 AM,0.05,r
ME96,NR6337SW,5/2/1998 4:00:00 AM,5/3/1998 4:00:00 AM,0.95,r
ME96,NR6337SW,5/3/1998 4:00:00 AM,5/4/1998 4:00:00 AM,0.00, 
ME96,NR6337SW,5/4/1998 4:00:00 AM,5/5/1998 4:00:00 AM,0.00, 
ME96,NR6337SW,5/5/1998 4:00:00 AM,5/5/1998 2:40:00 PM,0.33,r
ME96,NR6515SW,5/5/1998 2:40:00 PM,5/6/1998 4:00:00 AM,0.00, 
ME96,NR6515SW,5/6/1998 4:00:00 AM,5/7/1998 4:00:00 AM,1.35,r
ME96,NR6515SW,5/7/1998 4:00:00 AM,5/8/1998 4:00:00 AM,0.60,r
ME96,NR6515SW,5/8/1998 4:00:00 AM,5/9/1998 4:00:00 AM,0.00, 
ME96,NR6515SW,5/9/1998 4:00:00 AM,5/10/1998 4:00:00 AM,0.00, 
ME96,NR6515SW,5/10/1998 4:00:00 AM,5/11/1998 4:00:00 AM,0.30,r
ME96,NR6515SW,5/11/1998 4:00:00 AM,5/12/1998 4:00:00 AM,0.00, 
ME96,NR6515SW,5/12/1998 4:00:00 AM,5/12/1998 2:30:00 PM,0.00, 
ME96,NR6681SW,5/12/1998 2:30:00 PM,5/13/1998 4:00:00 AM,0.00, 
ME96,NR6681SW,5/13/1998 4:00:00 AM,5/14/1998 4:00:00 AM,0.00, 
ME96,NR6681SW,5/14/1998 4:00:00 AM,5/15/1998 4:00:00 AM,0.00, 
ME96,NR6681SW,5/15/1998 4:00:00 AM,5/16/1998 4:00:00 AM,0.00, 
